imovel_id,preco,tipo,bairro,dorms,suites,vagas
CA0083," R$ 198.000 , R$ 1.800 ",Casa,Fragata,2,0,1
AP0277, R$ 82.000 ,Apartamento,Fragata,2,0,
AP0123," R$ 235.000 , R$ 830 ",Apartamento,Fragata,2,0,1
AP0015, R$ 159.000 ,Apartamento,Três Vendas,3,0,1
AP0328, R$ 110.000 ,Apartamento,Areal,2,0,1
AP0153, R$ 200.000 ,Apartamento,Centro,2,0,
CA0330, R$ 120.000 ,Casa,Três Vendas,2,1,1
CA0329, R$ 280.000 ,Casa,Centro,2,0,
CA0327, R$ 950.000 ,Casa,Centro,4,0,2
CA0325, R$ 280.000 ,Casa,Centro,8,0,
AP0254, R$ 145.000 ,Apartamento,Centro,1,0,
CA0328, R$ 382.000 ,Casa,Três Vendas,3,0,1
CA0204, R$ 330.000 ,Casa,Três Vendas,3,0,2
AP0282, R$ 127.200 ,Apartamento,Areal,2,0,1
AP0280, R$ 275.600 ,Apartamento,Centro,2,0,1
AP0094, R$ 215.000 ,Apartamento,Centro,1,0,
AP0114, R$ 420.000 ,Apartamento,Três Vendas,3,1,1
AP0071, R$ 276.000 ,Apartamento,Centro,2,0,
AP0275, R$ 640.000 ,Apartamento,Centro,3,1,2
AP0256, R$ 330.000 ,Apartamento,Centro,2,0,
AP0271, R$ 230.000 ,Apartamento,Centro,2,0,1
CA0191, R$ 275.000 ,Casa,Laranjal,2,0,1
TE0024, R$ 320.000 ,Terreno,Areal,0,0,
AP0262, R$ 490.000 ,Apartamento,Centro,2,0,
CA0151, R$ 243.800 ,Casa,Fragata,2,0,2
AP0221, R$ 550.000 ,Apartamento,Centro,3,1,
CA0149, R$ 296.800 ,Casa,Fragata,2,2,
AP0220, R$ 270.000 ,Apartamento,Centro,2,0,
CA0147, R$ 950.000 ,Casa,Laranjal,3,1,1
SO0004," R$ 1.500.000 , R$ 11.500 ",Sobrado,Centro,3,3,2
AP0183, valor sob consulta ,Apartamento,Umuarama,2,0,1
AP0109, R$ 250.000 ,Apartamento,Centro,2,0,1
CA0011, R$ 450.000 ,Casa,Laranjal,2,0,2
CA0136, R$ 180.000 ,Casa,Laranjal,2,1,
CA0135, R$ 110.000 ,Casa,Laranjal,1,0,
CA0134, R$ 180.000 ,Casa,Fragata,2,0,
CA0168, R$ 265.000 ,Casa,Fragata,1,0,
CA0166, R$ 160.000 ,Casa,Laranjal,2,0,
AP0231, R$ 120.000 ,Apartamento,Centro,1,0,
CA0162, R$ 1.200.000 ,Casa,Fragata,1,0,5
CA0161, R$ 222.600 ,Casa,Areal,2,1,
AP0223, R$ 265.000 ,Apartamento,Centro,2,0,
AP0222, R$ 350.000 ,Apartamento,Areal,3,1,
SO0003, R$ 320.000 ,Sobrado,Areal,3,0,1
AP0020, R$ 130.000 ,Apartamento,Três Vendas,2,0,1
AP0054," R$ 230.000 , R$ 1.200 ",Apartamento,Centro,2,0,
AP0120, R$ 285.000 ,Apartamento,Três Vendas,3,0,1
AP0187, R$ 145.000 ,Apartamento,Areal,3,0,
AP0263, R$ 445.000 ,Apartamento,Laranjal,2,1,1
AP0178," R$ 130.000 , R$ 750 ",Apartamento,Areal,2,0,1
AP0265, R$ 201.400 ,Apartamento,Fragata,2,0,1
CA0187, R$ 170.000 ,Casa,Laranjal,2,0,1
CA0186, R$ 380.000 ,Casa,Areal,2,0,1
CA0171, R$ 380.000 ,Casa,Areal,3,0,1
AP0261, R$ 320.000 ,Apartamento,Centro,3,0,
AP0260, R$ 280.000 ,Apartamento,Centro,2,0,
TE0022, R$ 470.000 ,Terreno,Areal,0,0,
TE0021, R$ 290.000 ,Terreno,Areal,0,0,
CA0159," R$ 508.800 , R$ 3.000 ",Casa,Centro,3,0,
AP0257, R$ 215.000 ,Apartamento,Centro,3,0,
CA0248, R$ 1.000.000 ,Casa,Areal,4,1,2
CA0235, R$ 850.000 ,Casa,Centro,3,1,2
AP0305, R$ 170.000 ,Apartamento,Centro,2,0,
AP0336, R$ 212.000 ,Apartamento,Centro,1,0,
TE0030, R$ 80.000 ,Terreno,Recanto de Portugal,0,0,
CA0243, R$ 275.600 ,Casa,Areal,1,0,3
AP0292, R$ 165.000 ,Apartamento,Centro,1,0,
AP0297, R$ 224.900 ,Apartamento,Areal,2,0,1
AP0300, R$ 230.000 ,Apartamento,Centro,2,0,
AP0025," R$ 120.000 , R$ 550 ",Apartamento,Areal,2,0,1
CA0213, R$ 235.000 ,Casa,Areal,3,0,1
AP0301, R$ 500.000 ,Apartamento,Centro,3,1,1
TE0025, R$ 750.000 ,Terreno,Três Vendas,0,0,
